<unk>	UNKNOWN
en las residencias se hacen muchos amigos y se conoce a mucha gente.	DENTRO RESIDENCIA AMIGO ETCÉTERA PODER, CONOCERSE+++.
Dentro de la residencia se pueden conocer amigos.	DENTRO RESIDENCIA AMIGO ETCÉTERA PODER, CONOCERSE+++.
algunas residencias dan clases de apoyo para que el estudiante vaya bien en sus estudios.	ALGUNOS RESIDENCIA HAY DENTRO CLASE+ APOYO PARA PERSONA ESTUDIANTE+ MEJOR+, ESTUDIO MEJOR++.
Algunas residencias tienen clases de apoyo para que los estudiantes vayan mejor en sus estudios.	ALGUNOS RESIDENCIA HAY DENTRO CLASE+ APOYO PARA PERSONA ESTUDIANTE+ MEJOR+, ESTUDIO MEJOR++.
Pero la residencia universitaria también tiene inconvenientes.	DENTRO RESIDENCIA COSAS NEGATIVO+,
Dentro de la residencia hay cosas negativas,	DENTRO RESIDENCIA COSAS NEGATIVO+,
Por ejemplo, los estudiantes se siente vigilados porque la hora de cierre de la residencia suele ser muy temprana y cada vez que se marchan de fin de semana deben rellenar un parte de salida.	EJEMPLO, PERSONA ESTUDIANTE SENTIR CONTROL PORQUE HORA CERRAR PUERTA TEMPRANO PROBLEMA SALIR NO-PODER, ADEMÁS FIN-DE-SEMANA IR CASA, DEBER JUSTIFICANTE FIRMAR PRESENTAR.
por ejemplo, los estudiantes se sienten controlados porque la hora de cierre de la puerta es temprano y tiene el problema de no poder salir. Además, el fin de semana se van a casa y deben presentar un justificante firmado.	EJEMPLO, PERSONA ESTUDIANTE SENTIR CONTROL PORQUE HORA CERRAR PUERTA TEMPRANO PROBLEMA SALIR NO-PODER, ADEMÁS FIN-DE-SEMANA IR CASA, DEBER JUSTIFICANTE FIRMAR PRESENTAR.
La residencia universitaria es más cara que el piso de alquiler.	APARTE RESIDENCIA UNIVERSIDAD MÁS-CARO DINERO MÁS-CARO, PISO MENOS.
Por otra parte, la residencia universitaria es más cara que un piso.	APARTE RESIDENCIA UNIVERSIDAD MÁS-CARO DINERO MÁS-CARO, PISO MENOS.
La guerra es tan vieja como la humanidad.	GUERRA EDAD IGUAL HUMANIDAD IGUAL+.
La guerra tiene la misma edad que la humanidad.  	GUERRA EDAD IGUAL HUMANIDAD IGUAL+.
Entre los hallazgos más antiguos están las armas de guerra: hachas, lanzas, flechas, espadas y puñales en épocas prehistóricas.	COSAS ENCONTRAR, COSAS ANTIGUO QUÉ?, GUERRA ESPECIAL GUERRA COSAS, LANZA, PALO, FLECHA, ESPADA, PUÑAL, ENCONTRAR DÓNDE?, ÉPOCA ANTES HISTORIA, ANTES.
Se han encontrado antigüedades especiales para la guerra, lanzas, palos, flechas, espadas, puñales de la prehistória.	COSAS ENCONTRAR, COSAS ANTIGUO QUÉ?, GUERRA ESPECIAL GUERRA COSAS, LANZA, PALO, FLECHA, ESPADA, PUÑAL, ENCONTRAR DÓNDE?, ÉPOCA ANTES HISTORIA, ANTES.
Hay diferencias en la agresividad de los pueblos,  	TEMA GRUPO++ AGRESIVIDAD++ ESO DIFERENTE++.
La agresividad es diferente en los grupos.	TEMA GRUPO++ AGRESIVIDAD++ ESO DIFERENTE++.
por ejemplo, no existen armas de guerra y sí sólo de caza entre los esquimales, ciertas tribus de Colombia, Ecuador y África.  	EJEMPLO, GRUPO ALGUNOS HAY GUERRA NO-HAY, MATAR ANIMALES SÍ, GRUPO QUIÉN?, EJEMPLO VIVIR PERSONA+ POLO NORTE ESQUIMAL, GRUPO COLOMBIA, ECUADOR, ÁFRICA.
Por ejemplo, algunos grupos no tienen guerra pero sí matan animales. Esos grupos son, por ejemplo, los esquimales del Polo Norte, grupos de Colombia, de Ecuador y de África.  	EJEMPLO, GRUPO ALGUNOS HAY GUERRA NO-HAY, MATAR ANIMALES SÍ, GRUPO QUIÉN?, EJEMPLO VIVIR PERSONA+ POLO NORTE ESQUIMAL, GRUPO COLOMBIA, ECUADOR, ÁFRICA.
En sus lejanos espacios vitales, poco poblados y de difícil acceso, no había enemigos.  	ZONA SU LEJOS, PERSONA+ DENTRO VIVIR POCO, PODER IR COSTAR, PERSONA ENEMIGO NO-HAY.
En sus zonas lejanas vivían pocas personas, costaba poder llegar, no tenían enemigos.  	ZONA SU LEJOS, PERSONA+ DENTRO VIVIR POCO, PODER IR COSTAR, PERSONA ENEMIGO NO-HAY.
Existen en cambio un sinfín de ejemplos de pueblos agresivos, sanguinarios y belicosos:	ENTONCES, PERO HAY EJEMPLO GRUPO AGRESIVIDAD+++, GANAS SANGRE, AMOR GUERRA,
Pero hay ejemplos de pueblos muy agresivos, sanguinarios y amantes de la guerra. 	ENTONCES, PERO HAY EJEMPLO GRUPO AGRESIVIDAD+++, GANAS SANGRE, AMOR GUERRA,
destacaron, entre otros, por su sed de sangre y afán destructor, los zulúes de África del Sur.	PRIMER IMPORTANTE QUIÉN? MOTIVO GANAS MATANZA GANAS QUIÉN?, GRUPO NOMBRE \dl{ZULÚES}. DÓNDE VIVIR?, ÁFRICA SUR.
El más importante por sus ganas de matanza era el grupo llamado zulúes, que vivían en África del Sur.  	PRIMER IMPORTANTE QUIÉN? MOTIVO GANAS MATANZA GANAS QUIÉN?, GRUPO NOMBRE \dl{ZULÚES}. DÓNDE VIVIR?, ÁFRICA SUR.
Desde tiempos muy remotos fueron causa de guerra el robo de mujeres y tierras, la sed de botín, las ideas religiosas,	TOCA HACE-MUCHO-TIEMPO++ OBJETIVO GUERRA QUÉ?, MUJER ROBAR, TIERRA ROBAR+, TAMBIÉN GANAS BOTÍN, IDEA RELIGIÓN,
Hace mucho tiempo el objetivo de la guerra era el robo de mujeres y tierras, también las ganas de botín, las ideas religiosas,	TOCA HACE-MUCHO-TIEMPO++ OBJETIVO GUERRA QUÉ?, MUJER ROBAR, TIERRA ROBAR+, TAMBIÉN GANAS BOTÍN, IDEA RELIGIÓN,
que subyacen a costumbres como los sacrificios humanos, el canibalismo o la caza de cabezas y no en último lugar el ansia de gloria y la voluntad de dominio.	DENTRO RELIGIÓN HAY COSTUMBRE EJEMPLO PERSONA MUERTO+++ MATANZA O EJEMPLO PERSONA CUERPO COMER \cl{comerse el cuerpo O PERSONA CABEZA CORTAR-CABEZA, TAMBIÉN, ÚLTIMO NO, QUÉ?, GANAS ÉXITO, MÁS GANAS DOMINAR CONTROL.
dentro de la religión había la costumbre de, por ejemplo, matar a las personas o, por ejemplo, comer el cuerpo de las personas o cortarles la cabeza. También, no en último lugar, estaban las ganas de éxito, las ganas de dominar y controlar.	DENTRO RELIGIÓN HAY COSTUMBRE EJEMPLO PERSONA MUERTO+++ MATANZA O EJEMPLO PERSONA CUERPO COMER \cl{comerse el cuerpo O PERSONA CABEZA CORTAR-CABEZA, TAMBIÉN, ÚLTIMO NO, QUÉ?, GANAS ÉXITO, MÁS GANAS DOMINAR CONTROL.
Los imperios de la historia se formaron basándose en guerras.  	GRUPO GANAS DOMINAR, NOMBRE \dl{IMPERIOS}, EJEMPLO GRECIA ROMA, BASE SURGIR MOTIVO GUERRA.
El grupo con ganas de dominar recibía el nombre de imperios, por ejemplo, Grecia, Roma, surgieron basándose en las guerras.	GRUPO GANAS DOMINAR, NOMBRE \dl{IMPERIOS}, EJEMPLO GRECIA ROMA, BASE SURGIR MOTIVO GUERRA.
En casi todas las tribus y pueblos gozó el guerrero de especial prestigio.  	CASI MAYORÍA GRUPO, PUEBLO, IMPORTANTE QUIÉN?, HOMBRE PERSONA RESPONSABLE GUERRA,
Casi en la mayoría de los grupos, pueblos, el importante era el guerrero.  	CASI MAYORÍA GRUPO, PUEBLO, IMPORTANTE QUIÉN?, HOMBRE PERSONA RESPONSABLE GUERRA,
Su posición en la sociedad era elevada, se vestía con espléndido, magnífico y llamativo atuendo para la lucha 	DENTRO SOCIEDAD NIVEL ALTO, ROPA MARAVILLOSO, RESTO LLAMAR-ATENCIÓN, ESPECIAL PARA LUCHAR.
Dentro de la sociedad tenía un nivel alto, una ropa maravillosa que llamaba la atención de los demás y era especial para la lucha.	DENTRO SOCIEDAD NIVEL ALTO, ROPA MARAVILLOSO, RESTO LLAMAR-ATENCIÓN, ESPECIAL PARA LUCHAR.
a la que solía preceder un ritual destinado a levantar el ánimo, la danza guerrera.  	ANTES LUCHAR ANTES HAY SABER BAILE ESPECIAL PARA GUERRA NOMBRE PARA ANIMAR+.
Antes de la lucha hay un baile especial para la guerra llamado para animar.	ANTES LUCHAR ANTES HAY SABER BAILE ESPECIAL PARA GUERRA NOMBRE PARA ANIMAR+.
Hubo siempre gran interés en una presentación aterradora, amenazante y hostil, para ello se usaban pinturas de guerra y máscaras.	SIEMPRE++ PRESENTACIÓN EJEMPLO MIEDO, PODEROSO, MÁS PARA RESTO ASUSTAR, ENTONCES MUCHAS-VECES USAR PINTURAS COLOR ETCÉTERA, TAMBIÉN MÁSCARA.
Siempre, siempre, siempre se presentaban dando miedo, con poder, para asustar al resto, entonces, muchas veces usaban pinturas de colores variados y máscara.	SIEMPRE++ PRESENTACIÓN EJEMPLO MIEDO, PODEROSO, MÁS PARA RESTO ASUSTAR, ENTONCES MUCHAS-VECES USAR PINTURAS COLOR ETCÉTERA, TAMBIÉN MÁSCARA.
En sus comienzos la guerra consistía en una lucha "mano a mano" entre tribus contrarias tras el encuentro inicial de los "campeones".  	AL-PRINCIPIO TEMA GUERRA ENFRENTARSE GRUPO ENEMIGO, PRIMERO PERSONA+ CAMPEÓN+ ENCONTRARSE, DESPUÉS GRUPO ENFRENTARSE.
Al principio, en las guerras, se enfrentaban los grupos enemigos, primero se encontraban los campeones y, después, se enfrentaban los grupos.  	AL-PRINCIPIO TEMA GUERRA ENFRENTARSE GRUPO ENEMIGO, PRIMERO PERSONA+ CAMPEÓN+ ENCONTRARSE, DESPUÉS GRUPO ENFRENTARSE.
A la ruidosa, brutal y primitiva arremetida siguió pronto la "táctica",	DESPUÉS \cl{los dos grupos corriendo para luchar} CAMBIAR OTRO MÉTODO.
Después, los dos grupos corriendo para luchar cambió a otro método. 	DESPUÉS \cl{los dos grupos corriendo para luchar} CAMBIAR OTRO MÉTODO.
En tercer lugar, se escondían, un grupo se abalanzaba sobre otro, se retiraba y, después, volvía a atacar.	TERCERO, ESCONDERSE \cl{un grupo ataca a otro}. TAMBIÉN MÉTODO OTRO \cl{un grupo ataca a otro} \cl{un grupo se acerca a otro, se retira y, otra vez, vuelve a atacar}.
y, luego, vino el orden de batalla con sofisticada distribución de armas ligeras y pesadas y empleo de caballería, carros de combate y elefantes.	TAMBIÉN ORDEN, \cl{personas (u objetos) en filas ordenadas de delante hacia atrás} ESPECIAL ARMA COSAS ETCÉTERA, EJEMPLO, PRIMERO LIGERO, AHI PESADO, \cl{personas (u objetos) en filas}. USAR CABALLO+, CARRO, TAMBIÉN ELEFANTE.
También se ordenaban por filas las armas especiales, etcétera, por ejemplo, primero las ligeras, después las pesadas, las personas o los objetos se situaban en filas. Usaban caballos, carros y elefantes.  	TAMBIÉN ORDEN, \cl{personas (u objetos) en filas ordenadas de delante hacia atrás} ESPECIAL ARMA COSAS ETCÉTERA, EJEMPLO, PRIMERO LIGERO, AHI PESADO, \cl{personas (u objetos) en filas}. USAR CABALLO+, CARRO, TAMBIÉN ELEFANTE.
En ningún campo fue tan fecundo el ingenio humano como en el de la invención de métodos estratégicos, de ataque y defensivos cada vez más eficaces.	TEMA INTELIGENCIA PERSONA+ HUMANO++ PARA CREAR MÉTODO TEMA ENFRENTARSE O DEFENDER OTRO TEMA IGUAL INTELIGENCIA VALE NO-HAY.
La inteligencia de las personas humanas para crear métodos de ataque o defensa no hay otro tema donde haya una inteligencia igual de válida.	TEMA INTELIGENCIA PERSONA+ HUMANO++ PARA CREAR MÉTODO TEMA ENFRENTARSE O DEFENDER OTRO TEMA IGUAL INTELIGENCIA VALE NO-HAY.
El objetivo ideal de la estrategia es la destrucción del enemigo.	OBJETIVO PERFECTO MÉTODO QUÉ?, ENEMIGO DESAPARECER, OBJETIVO ESE.
El objetivo perfecto del método era hacer desaparecer al enemigo.  	OBJETIVO PERFECTO MÉTODO QUÉ?, ENEMIGO DESAPARECER, OBJETIVO ESE.
La brutalidad puesta a ese servicio sólo conoce suavizamientos graduales según la época y el lugar.	MISMO BRUTALIDAD++ ESO, DEPENDER SUAVE O BRUTALIDAD DEPENDER ÉPOCA O ZONA GUERRA, DEPENDER.
La brutalidad o suavidad de eso dependía de la época o de la zona de la guerra.  	MISMO BRUTALIDAD++ \ESO, DEPENDER SUAVE O BRUTALIDAD DEPENDER ÉPOCA O ZONA GUERRA, DEPENDER.
Cuando acaso se hacían prisioneros, su destino posterior era la esclavitud.	TOCA PERSONA PRESO, DESPUÉS, TRASLADAR CÁRCEL.
Cuando se hacían prisioneros se trasladaban a las cárceles.	TOCA PERSONA PRESO, DESPUÉS, TRASLADAR CÁRCEL.
Las poblaciones sometidas conocieron siempre la "ley de la espada".  	GRUPO PERDER SOMETERSE CONOCER QUÉ?, LEY ESPADA CONOCER, SOMETERSE.
Los grupos que perdían se sometían y conocían la ley de la espada.  	GRUPO PERDER SOMETERSE CONOCER QUÉ?, LEY ESPADA CONOCER, SOMETERSE.
La historia de las guerras está llena de crueldad, y sangre en todas las partes del mundo.  	HISTORIA TEMA GUERRA DENTRO SANGRE, BRUTALIDAD, MUNDO \cl{se señalan las distintas partes en el mundo} TODO.
En la historia del tema de las guerras hay sangre y brutalidad en todas partes del mundo.	HISTORIA TEMA GUERRA DENTRO SANGRE, BRUTALIDAD, MUNDO \cl{se señalan las distintas partes en el mundo} TODO.
Y poco ha cambiado, sigue habiendo guerras, hay matanzas de pueblos y nos llegan noticias de gran derramamiento de sangre.	AHORA-MISMO, DESDE-ANTES-HASTA-AHORA CAMBIAR POCO, CONTINUAR GUERRA, GRUPO++ ENFRENTARSE, RECIBIR-INFORMACIÓN NOTICIAS, RECIBIR-INFORMACIÓN, SANGRE, MATANZA, HORRIBLE, CONTINUAR++.
Desde antiguo hasta la actualidad ha cambiado poco, continúan las guerras y el enfrentamiento de los grupos, se reciben noticias de que continúan la sangre y las matanzas horribles.	AHORA-MISMO, DESDE-ANTES-HASTA-AHORA CAMBIAR POCO, CONTINUAR GUERRA, GRUPO++ ENFRENTARSE, RECIBIR-INFORMACIÓN NOTICIAS, RECIBIR-INFORMACIÓN, SANGRE, MATANZA, HORRIBLE, CONTINUAR++.
En lo que alcanza la historia mundial, hubo pueblos sometidos por otros pueblos belicosos y dispuestos a seguir en la agresión a caudillos ambiciosos, dominantes y brutales.  	HISTORIA MUNDO HAY GRUPO SOMETERSE MOTIVO HAY ALGUNOS PODEROSO APLASTAR GRUPO SOMETERSE. ESO MISMO OBJETIVO QUÉ?, PERSONA FIEL. ESA PERSONA CÓMO?, GANAS GUERRA, SENTIR BRUTALIDAD ESA FIEL.
En la historia del mundo hay grupos que se someten porque hay algunos grupos poderosos que aplastan al grupo sometido, que tiene como objetivo ser fiel a esa persona. Esa persona es belicosa y brutal y le son fieles.  	HISTORIA MUNDO HAY GRUPO SOMETERSE MOTIVO HAY ALGUNOS PODEROSO APLASTAR GRUPO SOMETERSE. ESA MISMO OBJETIVO QUÉ?, PERSONA FIEL. ESA PERSONA CÓMO?, GANAS GUERRA, SENTIR BRUTALIDAD ESA FIEL.
El objetivo final era la conquista del mundo mediante la creación de imperios,	OBJETIVO FINAL QUÉ?, MUNDO DOMINAR++, CREAR QUÉ?, IMPERIO.
El objetivo final es dominar el mundo y crear imperios. 	OBJETIVO FINAL QUÉ?, MUNDO DOMINAR++, CREAR QUÉ?, IMPERIO.
es lo que se conoce como imperialismo.  	ESO NOMBRE CÓMO?, IMPERIALISMO.
Eso se llama imperialismo.  	ESO NOMBRE CÓMO?, IMPERIALISMO.
Éste se define como un afán de dominio que procura extender la jurisdicción de un país a costa de países vecinos e incluso lejanos.  	ESO QUÉ? CONCEPTO SIGNIFICAR QUÉ?, GANAS DOMINAR++, OBJETIVO INTENTAR MI PAÍS MI INTENTAR DOMINAR EXTENDERSE PAÍS++ EXTENDERSE, TAMBIÉN LEJOS PAÍS+ TAMBIÉN LEJOS.
Ese concepto significa ganas de dominar con el objetivo de intentar extender mi país también a países lejanos.  	ESO QUÉ? CONCEPTO SIGNIFICAR QUÉ?, GANAS DOMINAR++, OBJETIVO INTENTAR MI PAÍS MI INTENTAR DOMINAR EXTENDERSE PAÍS++ EXTENDERSE, TAMBIÉN LEJOS PAÍS+ TAMBIÉN LEJOS.
La historia nos demuestra que la tendencia al imperialismo existe en todo tiempo y que en cuanto surge un tirano puede cristalizar enseguida.  	HISTORIA DEMOSTRAR+ NORMAL ANTES INTENTAR OBJETIVO DOMINAR AHORA NO, CONTINUAR, DESDE-ANTES-HASTA-AHORA CONTINUAR+. TOCA UN SURGIR PERSONA ORGULLOSO ÉL PODER CONTINUAR++.
La historia demuestra que el intento de dominar no es algo de ahora sino que continúa desde la antigüedad hasta ahora. Cuando surge una persona orgullosa puede continuar.   	HISTORIA DEMOSTRAR+ NORMAL ANTES INTENTAR OBJETIVO DOMINAR AHORA NO, CONTINUAR, DESDE-ANTES-HASTA-AHORA CONTINUAR+. TOCA UN SURGIR PERSONA ORGULLOSO ÉL PODER CONTINUAR++.
Te voy a contar un día en la vida de mi perro.	YO CONTAR+ VIDA MI PERRO, UN DÍA COMPLETO YO CONTAR.
Yo voy a contar la vida de mi perro, un día completo.	YO CONTAR+ VIDA MI PERRO, UN DÍA COMPLETO YO CONTAR.
Por la mañana, mi perro se despierta a las 8.30.	POR-LA-MAÑANA LEVANTAR, DESPERTARSE, HORA OCHO Y-MEDIA DESPERTARSE.
Por la mañana se levanta, se despierta a las ocho y media.	POR-LA-MAÑANA LEVANTAR, DESPERTARSE, HORA OCHO Y-MEDIA DESPERTARSE.
Él nunca se levanta sólo,	 SÓLO LEVANTARSE NUNCA
Él nunca se levanta solo	 SÓLO LEVANTARSE NUNCA
porque es muy dormilón.	PORQUE  DORMIR ENCANTAR.
porque le encanta dormir.	PORQUE  DORMIR ENCANTAR.
Yo lo despierto para sacarlo a la calle.	YO LLAMAR PARA DESPERTAR CALLE \cl{llevar al perro de la cadena}.
Yo lo llamo para despertarlo y sacarlo a la calle.	YO LLAMAR PARA DESPERTAR CALLE \cl{llevar al perro de la cadena}.
Si hace mucho frío, le pongo su abrigo.	SI FRÍO, ABRIGO(cond) \cl{perro andando}.
Si hace frío le pongo un abrigo.	SI FRÍO, ABRIGO(cond) \cl{perro andando}.
En la calle se encuentra con otros perros.	TOCA CALLE NORMAL ENCONTRARSE+ PERRO,
En la calle normalmente se encuentra con perros,	TOCA CALLE NORMAL ENCONTRARSE+ PERRO,
Muchos perros son amigos suyos.	ALGUNOS AMIGO SU.
algunos son amigos suyos.	ALGUNOS AMIGO SU.
Cuando los ve, tira de la cadena para que lo acerque a sus amigos.	TOCA VER \cl{perro que tira de la cadena} PARA CERCA \cl{perro andando}.
Cuando los ve tira de la cadena para acercarse.	TOCA VER \cl{perro que tira de la cadena} PARA CERCA \cl{perro andando}.
Y, luego, se pone a mover el rabo y a jugar con ellos.	DESPUÉS, NORMAL RABO \cl{mover el rabo} PARA JUGAR++.
Después, normalmente mueve el rabo para jugar.	DESPUÉS, NORMAL RABO \cl{mover el rabo} PARA JUGAR++.
Después, volvemos a la casa y desayunamos.	DESPUÉS, TOCA IR NOSOTROS 2 CASA, TOCA DESAYUNO.
Después, los dos vamos a casa a desayunar.	DESPUÉS, TOCA IR NOSOTROS 2 CASA, TOCA DESAYUNO.
Mi perro no desayuna pero, a veces, le damos un trozo de tostada.	MI PERRO DESAYUNO NADA. MUCHAS-VECES TOSTADA ALGO \cl{darle tostada al perro}.
Mi perro no desayuna nada. Muchas veces le doy un trozo de tostada.	MI PERRO DESAYUNO NADA. MUCHAS-VECES TOSTADA ALGO \cl{darle tostada al perro}.
Luego, todos salimos de casa:	DESPUÉS, TODOS IR CASA,
Después, todos salimos de casa,	DESPUÉS, TODOS IR CASA,
papá y mamá se van al trabajo y	PADRE-MADRE IR TRABAJAR
mi padre y mi madre van a trabajar y	PADRE-MADRE IR TRABAJAR
mi hermano y yo nos vamos al colegio.	HERMANO-HOMBRE YO IR COLEGIO.
mi hermano y yo vamos al colegio.	HERMANO-HOMBRE YO IR COLEGIO.
Entonces, mi perro se queda solo.	DESPUÉS, PERRO SOLO CASA DENTRO.
Después, el perro se queda solo en casa.	DESPUÉS, PERRO SOLO CASA DENTRO.
Cuando mi perro se queda solo, no se aburre.	TOCA  SOLO ABURRIR (2m)NO.
Cuando está solo no se aburre.	TOCA  SOLO ABURRIR (2m)NO.
Duerme un poco pero también juega mucho.	 DORMIR MUCHAS-VECES, JUGAR TAMBIÉN.
Duerme muchas veces, también juega.	 DORMIR MUCHAS-VECES, JUGAR TAMBIÉN.
Mi perro tiene una caja con juguetes.	 HAY CAJA DENTRO JUGUETE ETCÉTERA,
Tiene una caja con juguetes variados,	 HAY CAJA DENTRO JUGUETE ETCÉTERA,
Tiene tres pelotas de colores y varios muñecos de goma.	HAY PELOTA COLOR+ 3, MÁS MUÑECO ESPECIAL GOMA.
tiene tres pelotas de colores y muñecos de goma.	HAY PELOTA COLOR+ 3, MÁS MUÑECO ESPECIAL GOMA.
Cuando está solo, mi perro abre la caja con su hocico, saca todos sus juguetes y se pone a jugar.	TOCA  SOLO, CAJA HOCICO \cl{levanta la tapa de la caja con su hocico} PARA JUGUETE FUERA++ JUGAR++.
Cuando se queda solo, abre la caja con su hocico para sacar los juguetes.	TOCA  SOLO, CAJA HOCICO \cl{levanta la tapa de la caja con su hocico} PARA JUGUETE FUERA++ JUGAR++.
También le gusta morder los muñecos de goma.	TAMBIÉN MUCHAS-VECES MUÑECO ESPECIAL GOMA MORDER,
También muchas veces muerde los muñecos de goma,	TAMBIÉN MUCHAS-VECES MUÑECO ESPECIAL GOMA MORDER,
Se tira al suelo y se pasa las horas mordiéndolos.	SUELO \cl{tumbado en el suelo} HORA++ MORDER.
se tumba en el suelo y se pasa horas mordiendo.	SUELO \cl{tumbado en el suelo} HORA++ MORDER.
Él muerde sus muñecos con cuidado, nunca los rompe.	MORDER ROMPER MUÑECO NO,  CUIDAR.
Él no muerde con fuerza los muñecos, no los rompe, él los cuida.	MORDER ROMPER MUÑECO NO,  CUIDAR.
Así, pasa el tiempo hasta que volvemos a casa.	HORA++ HASTA TOCA TODOS IR CASA.
Se pasa las horas hasta que todos volvemos a casa.	HORA++ HASTA TOCA TODOS IR CASA.
A las 14.30 volvemos a casa.	HORA 2 Y-MEDIA IR CASA.
A las dos y media vamos a casa.	HORA 2 Y-MEDIA IR CASA.
Antes de abrir la puerta mi perro ya sabe que hemos vuelto porque nos oye cuando llegamos al portal.	ANTES PUERTA ABRIR, ANTES SABER PORQUE TOCA OÍR PORTAL ABAJO OÍR.
Antes de abrir la puerta lo sabe porque nos oye en el portal de abajo.	ANTES PUERTA ABRIR, ANTES SABER PORQUE TOCA OÍR PORTAL ABAJO OÍR.
Cuando abrimos la puerta nos encontramos a mi perro muy contento de vernos.	TOCA ABRIR, VER FELIZ, VER FELIZ.
Cuando abrimos lo vemos muy feliz.	TOCA ABRIR, VER FELIZ, VER FELIZ.
Enseguida, nos lavamos las manos y ponemos la mesa para almorzar.	DESPUÉS, DIRECTO IR LAVARSE-LAS-MANOS, MÁS MESA PREPARAR PLATO++ ETCÉTERA.
Después, vamos directo a lavarnos las manos y a poner la mesa.	DESPUÉS, DIRECTO IR LAVARSE-LAS-MANOS, MÁS MESA PREPARAR PLATO++ ETCÉTERA.
Durante el almuerzo mi perro se tumba debajo de la mesa.	MESA COMIDA TOCA \cl{el perro se pone debajo de la mesa}.
En la comida, el perro se pone debajo de la mesa.	MESA COMIDA TOCA \cl{el perro se pone debajo de la mesa}.
Mamá no quiere que le demos de comer.	MAMÁ QUERER NO COMIDA DAR QUERER NO.
Mamá no quiere que le demos comida.	MAMÁ QUERER NO COMIDA DAR QUERER NO.
Mi perro espera debajo de la mesa por si se cae algo.	 ESPERAR A-VER SUERTE HAY DAR-ME COMIDA ALGO+.
Él espera a ver si hay suerte y le damos algo de comida.	 ESPERAR A-VER SUERTE HAY DAR-ME COMIDA ALGO+.
Tras el almuerzo, le damos su comida.	FIN COMIDA, DESPUÉS, TURNO COMER.
Tras la comida, después, le toca comer	FIN COMIDA, DESPUÉS, TURNO COMER.
Mi perro come pienso y croquetas para perro.	SU ESPECIAL COMIDA QUÉ?, ESPECIAL COMIDA ANIMALES PERRO+, MÁS CROQUETA ESPECIAL PERRO.
su comida especial para perros y croquetas para perros.	SU ESPECIAL COMIDA QUÉ?, ESPECIAL COMIDA ANIMALES PERRO+, MÁS CROQUETA ESPECIAL PERRO.
Después, saco a mi perro otra vez a la calle.	DESPUÉS IR CALLE OTRA-VEZ.
Después, vamos a la calle otra vez.	DESPUÉS IR CALLE OTRA-VEZ.
Esta vez se lleva en la boca su pelota favorita.	 IR QUÉ-HACER?, PELOTA GUSTAR SU COGER, IR.
Él coge la pelota que le gusta.	 IR QUÉ-HACER?, PELOTA GUSTAR SU COGER, IR.
En la calle jugamos durante un buen rato.	NOSOTROS JUGAR+,
Los dos jugamos,	NOSOTROS 2 JUGAR+,
Primero suelto a mi perro y después le tiro la pelota muy lejos.	PRIMERO YO \cl{desatar al perro}, PELOTA TIRAR LEJOS,
primero yo desato al perro, le tiro la pelota lejos,	PRIMERO YO \cl{desatar al perro}, PELOTA TIRAR LEJOS,
El perro otra vez me la da, la tiro lejos.	PERRO OTRA-VEZ DAR A-MI, TIRAR LEJOS.
A mi perro le gusta mucho este juego.	 JUGAR ENCANTAR,
Le encanta jugar,	 JUGAR ENCANTAR,
A las 17 volvemos a casa.	HORA 17 OTRA-VEZ NOSOTROS CASA.
A las cinco otra vez nos marchamos a casa.	HORA 5 OTRA-VEZ NOSOTROS IR CASA.
Yo me pongo a hacer los deberes.	YO COLEGIO PREPARAR DEBERES.
Yo preparo los deberes del colegio.	YO COLEGIO PREPARAR DEBERES.
Mi perro se vuelve a dormir porque está muy cansado de correr.	 OTRA-VEZ DORMIR MOTIVO CANSADO ANTES CORRER,
Otra vez duerme porque está cansado de correr,	 OTRA-VEZ DORMIR MOTIVO CANSADO ANTES CORRER,
Él duerme hasta la hora de merendar.	AHORA DORMIR HASTA HORA COMER MEDIA TARDE .
ahora duerme hasta la hora de merendar.	AHORA DORMIR HASTA HORA COMER MEDIA TARDE .
Después de merendar, yo me voy a la calle a jugar con mi hermano y nuestros amigos.	DESPUÉS COMER TARDE IR JUGAR AMIGO+ ETCÉTERA MÁS HERMANO-HOMBRE, YO, NOSOTROS 2 IR.
Después de merendar voy a jugar con los amigos y mi hermano.	DESPUÉS COMER TARDE IR JUGAR AMIGO+ ETCÉTERA MÁS HERMANO-HOMBRE, YO, NOSOTROS 2 IR.
Mi perro se queda ahora en casa jugando con sus pelotas.	PERRO QUÉ-HACER?, CASA JUGAR PELOTA JUGAR++.
El perro se queda en casa jugando con la pelota.	PERRO QUÉ-HACER?, CASA JUGAR PELOTA JUGAR++.
Tras la cena, le toca a papá sacarlo a la calle.	COMER NOCHE FIN, PAPÁ RESPONSABLE CALLE \cl{llevar al perro de la cadena}.
Tras la cena, papá es responsable de sacar al perro a la calle.	COMER NOCHE FIN, PAPÁ RESPONSABLE CALLE \cl{llevar al perro de la cadena}.
Ya está muy oscuro	CIELO OSCURO
Está oscuro	CIELO OSCURO
y mamá no quiere que los niños salgamos de casa.	MOTIVO MAMÁ QUERER NO NIÑOS IR CALLE QUERER NO MOTIVO OSCURO.
y mamá no quiere que los niños vayamos a la calle porque está oscuro.	MOTIVO MAMÁ QUERER NO NIÑOS IR CALLE QUERER NO MOTIVO OSCURO.
Luego, cuando sube de la calle, mi perro se acuesta en su cama.	DESPUÉS TOCA CASA,  CAMA DORMIR.
